firing, ooo, vx_pos, vy_pos, vy_neg, vz_pos, vz_neg, wy_pos, wy_neg, wp_pos, wp_neg, wr_pos, wr_neg
1,      7,   19.81,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
2,      6,   1.618,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
3,      5,   39.97,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
4,      4,   2.417,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
5,      3,   4.372,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
6,      2,   18.07,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
7,      1,   4.222,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
8,      0,   3.838,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
9,      8,   0,      0,      0,      0,      0,      0,      0,      0.0087, 0.0087, 0,      0
10,     9,   15,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0
